Column1,properties,embedding
130,"The_number_of_atoms_in_the_side_chain_labelled_1+1_(Charton-Charton,_1983)",-5.071143
131,"Helix_termination_parameter_at_posision_j+1_(Finkelstein_et_al.,_1991)",-5.0148673
132,Protein binding propensity,-4.897451
133,P_1 (binding sites),-4.8965516
134,"Relative_preference_value_at_C""_(Richardson-Richardson,_1988)",-4.8736916
135,"Average_relative_fractional_occurrence_in_ER(i-1)_(Rackovsky-Scheraga,_1982)",-4.5932636
136,RNA functional category-rRNA,-4.4209604
137,rRNA binding propensity,-4.420338
138,Full data set,-4.387509
139,RNA functional category-tRNA,-4.351905
140,tRNA binding propensity,-4.339336
141,"Average_relative_fractional_occurrence_in_A0(i-1)_(Rackovsky-Scheraga,_1982)",-4.0291495
142,"Relative_preference_value_at_C1_(Richardson-Richardson,_1988)",-3.9745343
143,"Normalized_frequency_of_chain_reversal_D_(Tanaka-Scheraga,_1977)",-3.8922038
144,"Proportion_of_residues_95%_buried_(Chothia,_1977)",-3.7749784
145,¦Á-helix-¦µ-¦·,-3.7735012
146,"Normalized_frequency_of_chain_reversal_(Tanaka-Scheraga,_1977)",-3.7479525
147,"The_Chou-Fasman_parameter_of_the_coil_conformation_(Charton-Charton,_1983)",-3.719666
148,"Average_relative_fractional_occurrence_in_EL(i)_(Rackovsky-Scheraga,_1982)",-3.6814477
149,"Free_energy_of_solution_in_water,_kcal/mole_(Charton-Charton,_1982)",-3.6535525
150,A ( [conservation propensities on P_2]/[propensity on P_2] ),-3.5850203
151,"Normalized_frequency_of_N-terminal_non_beta_region_(Chou-Fasman,_1978b)",-3.5762553
152,"Information_measure_for_extended_without_H-bond_(Robson-Suzuki,_1976)",-3.5714982
153,"Principal_property_value_z3_(Wold_et_al.,_1987)",-3.5139809
154,"Normalized_frequency_of_coil_(Nagano,_1973)",-3.5119047
155,"Normalized_frequency_of_beta-turn_(Chou-Fasman,_1978a)",-3.4495118
156,"Normalized_frequency_of_turn_(Crawford_et_al.,_1973)",-3.3979342
157,"Normalized_frequency_of_turn_from_CF_(Palau_et_al.,_1981)",-3.3921602
158,"Aperiodic_indices_for_beta-proteins_(Geisow-Roberts,_1980)",-3.31035
159,"Composition_(Grantham,_1974)",-3.230119
160,Valids-Contacts per-Atom.1,-3.0248384
161,Invalids-Contacts per-Atom.1,-2.9386587
162,Invalids-Contacts per-Atom,-2.9005365
163,"8_A_contact_number_(Nishikawa-Ooi,_1980)",-2.869689
164,"Transfer_free_energy_from_vap_to_oct_(Radzicka-Wolfenden,_1988)",-2.3106616
165,q (N6),-2.2757287
166,"Short_and_medium_range_non-bonded_energy_per_residue_(Oobatake-Ooi,_1977)",-2.2744324
167,"Hydration_potential_(Wolfenden_et_al.,_1981)",-2.237598
168,"Transfer_free_energy_from_vap_to_chx_(Radzicka-Wolfenden,_1988)",-2.2340348
169,"Average_non-bonded_energy_per_residue_(Oobatake-Ooi,_1977)",-2.2208939
170,"Optical_rotation_(Fasman,_1976)",-2.1869738
171,"Transfer_free_energy_from_chx_to_oct_(Radzicka-Wolfenden,_1988)",-2.0877178
172,"Transfer_free_energy_from_chx_to_wat_(Radzicka-Wolfenden,_1988)",-2.049053
173,"Partition_coefficient_(Pliska_et_al.,_1981)",-1.9894751
174,"Negative_charge_(Fauchere_et_al.,_1989)",-1.9465057
175,"Hydropathy_index_(Kyte-Doolittle,_1982)",-1.8765688
176,"Information_measure_for_extended_(Robson-Suzuki,_1976)",-1.8207967
177,"Information_measure_for_pleated-sheet_(Robson-Suzuki,_1976)",-1.7616262
178,"Percentage_of_buried_residues_(Janin_et_al.,_1979)",-1.7326258
179,"Information_measure_for_middle_helix_(Robson-Suzuki,_1976)",-1.7272598
180,"Information_measure_for_C-terminal_helix_(Robson-Suzuki,_1976)",-1.720145
181,"Information_measure_for_alpha-helix_(Robson-Suzuki,_1976)",-1.6926254
182,"Average_accessible_surface_area_(Janin_et_al.,_1979)",-1.6639317
183,"Normalized_relative_frequency_of_coil_(Isogai_et_al.,_1981)",-1.6500422
184,"Normalized_relative_frequency_of_helix_end_(Isogai_et_al.,_1981)",-1.5609305
185,14,-1.5499392
186,"Information_measure_for_C-terminal_turn_(Robson-Suzuki,_1976)",-1.2201917
187,"Graph_shape_index_(Fauchere_et_al.,_1989)",-1.1314505
188,Amphiphilicity index,-1.1275647
189,RNA functional category-Ligand,-1.0774186
190,"Partition_coefficient_(Garel_et_al.,_1973)",-1.0421299
191,"Relative_preference_value_at_N4_(Richardson-Richardson,_1988)",-1.0315696
192,Propensity to protein binding hot spot,-0.92651063
193,"Transfer_free_energy_(Simon,_1976),_Cited_by_Charton-Charton_(1982)",-0.9144256
194,Enrichment in hot spots,-0.9067535
195,"Hydrophobicity_(Jones,_1975)",-0.82322484
196,"Principal_property_value_z2_(Wold_et_al.,_1987)",-0.80679905
197,"Hydrophobicity_factor_(Goldsack-Chalifoux,_1973)",-0.8039576
198,"Transfer_energy,_organic_solvent/water_(Nozaki-Tanford,_1971)",-0.7304095
199,"N.m.r._chemical_shift_of_alpha-carbon_(Fauchere_et_al.,_1989)",-0.7047299
200,"Hydration_free_energy_(Robson-Osguthorpe,_1979)",-0.64561373
201,"STERIMOL_maximum_width_of_the_side_chain_(Fauchere_et_al.,_1989)",-0.64118093
202,"Hydrophobicity_index_(Argos_et_al.,_1982)",-0.62342167
203,"Beta-coil_equilibrium_constant_(Ptitsyn-Finkelstein,_1983)",-0.5763942
204,"Solvation_free_energy_(Eisenberg-McLachlan,_1986)",-0.5201414
205,"Optimized_beta-structure-coil_equilibrium_constant_(Oobatake_et_al.,_1985)",-0.5193949
206,"Normalized_hydrophobicity_scales_for_beta-proteins_(Cid_et_al.,_1992)",-0.51120824
207,"Transfer_free_energy_from_oct_to_wat_(Radzicka-Wolfenden,_1988)",-0.5100211
208,"Hydrophobic_parameter_pi_(Fauchere-Pliska,_1983)",-0.47526842
209,"Normalized_relative_frequency_of_alpha-helix_(Isogai_et_al.,_1981)",-0.2716233
210,"Optimal_matching_hydrophobicity_(Sweet-Eisenberg,_1983)",-0.26247445
211,"Normalized_composition_of_mt-proteins_(Nakashima_et_al.,_1990)",-0.1991715
212,"Normalized_relative_frequency_of_bend_S_(Isogai_et_al.,_1981)",-0.18237136
213,"Normalized_relative_frequency_of_double_bend_(Isogai_et_al.,_1981)",-0.17798696
214,"Normalized_frequency_of_beta-sheet_(Crawford_et_al.,_1973)",-0.16908391
215,"Conformational_preference_for_parallel_beta-strands_(Lifson-Sander,_1979)",-0.1522886
216,"Normalized_composition_from_animal_(Nakashima_et_al.,_1990)",-0.1342365
217,"Normalized_average_hydrophobicity_scales_(Cid_et_al.,_1992)",-0.103323065
218,"Number_of_hydrogen_bond_donors_(Fauchere_et_al.,_1989)",0.013202529
219,"Ratio_of_buried_and_accessible_molar_fractions_(Janin,_1979)",0.020860694
220,"Relative_preference_value_at_C4_(Richardson-Richardson,_1988)",0.05030289
221,"Normalized_hydrophobicity_scales_for_alpha+beta-proteins_(Cid_et_al.,_1992)",0.10479174
222,"Mean_polarity_(Radzicka-Wolfenden,_1988)",0.19955842
223,"Signal_sequence_helical_potential_(Argos_et_al.,_1982)",0.24335276
224,"STERIMOL_minimum_width_of_the_side_chain_(Fauchere_et_al.,_1989)",0.32170945
225,"Partition_energy_(Guy,_1986)",0.32269046
226,"Membrane-buried_preference_parameters_(Argos_et_al.,_1982)",0.3315056
227,Average internal preferences,0.36878246
228,Rk,0.42617384
229,"Conformational_preference_for_all_beta-strands_(Lifson-Sander,_1979)",0.4730985
230,"Average_relative_probability_of_beta-sheet_(Kanehisa-Tsong,_1980)",0.60277414
231,"Bitterness_(Venanzi,_1984)",0.7076806
232,"Relative_frequency_in_beta-sheet_(Prabhakaran,_1990)",0.7573684
233,"Normalized_frequency_of_beta-sheet,_with_weights_(Levitt,_1978)",0.7700683
234,"Normalized_frequency_of_bata-structure_(Nagano,_1973)",0.82542324
235,"Normalized_frequency_of_beta-sheet_(Chou-Fasman,_1978b)",0.8614124
236,"Normalized_frequency_of_beta-sheet_from_LG_(Palau_et_al.,_1981)",0.8686857
237,"Normalized_frequency_of_beta-sheet,_unweighted_(Levitt,_1978)",0.8697301
238,"Beta-strand_indices_(Geisow-Roberts,_1980)",0.8750143
239,"Average_relative_probability_of_inner_beta-sheet_(Kanehisa-Tsong,_1980)",0.8795624
240,"Normalized_frequency_of_beta-sheet_from_CF_(Palau_et_al.,_1981)",0.91284066
241,"Beta-strand_indices_for_alpha/beta-proteins_(Geisow-Roberts,_1980)",0.914443
242,"Normalized_frequency_of_beta-sheet_in_alpha/beta_class_(Palau_et_al.,_1981)",0.92187554
243,"Normalized_frequency_of_C-terminal_beta-sheet_(Chou-Fasman,_1978b)",0.943732
244,"Frequency_of_the_2nd_residue_in_turn_(Chou-Fasman,_1979b)",1.0301511
245,"Normalized_relative_frequency_of_bend_(Isogai_et_al.,_1981)",1.2046134
246,"Alpha-helix_indices_for_alpha/beta-proteins_(Geisow-Roberts,_1981)",1.2177331
247,"Normalized_hydrophobicity_scales_for_alpha/beta-proteins_(Cid_et_al.,_1992)",1.2224026
248,Hydrophobicity scale.1,1.2311844
249,"Normalized_frequency_of_extended_structure_(Tanaka-Scheraga,_1977)",1.2653259
250,"Average_relative_fractional_occurrence_in_AR(i)_(Rackovsky-Scheraga,_1982)",1.4211293
251,"Relative_preference_value_at_N5_(Richardson-Richardson,_1988)",1.4549578
252,"Normalized_frequency_of_chain_reversal_S_(Tanaka-Scheraga,_1977)",1.5489662
253,"A_parameter_of_charge_transfer_donor_capability_(Charton-Charton,_1983)",1.5712405
254,"Normalized_frequency_of_beta-sheet_in_all-beta_class_(Palau_et_al.,_1981)",1.5779548
255,"Conformational_preference_for_antiparallel_beta-strands_(Lifson-Sander,_1979)",1.6179643
256,"Normalized_frequency_of_zeta_R_(Maxfield-Scheraga,_1976)",1.7351074
257,"Alpha-helix_indices_for_beta-proteins_(Geisow-Roberts,_1980)",1.745529
258,"Ratio_of_average_and_computed_composition_(Nakashima_et_al.,_1990)",1.7849813
259,"Average_relative_fractional_occurrence_in_E0(i)_(Rackovsky-Scheraga,_1982)",1.822057
260,Rb,1.8426481
261,Ro,1.8982483
262,Membrane preference ,1.9168125
263,"Membrane_preference_for_cytochrome_b:_MPH89_(Degli_Esposti_et_al.,_1990)",1.941309
264,"Normalized_frequency_of_alpha-helix_in_all-alpha_class_(Palau_et_al.,_1981)",1.9542735
265,"Alpha-helix_indices_for_alpha-proteins_(Geisow-Roberts,_1980)",1.9573482
266,"Normalized_frequency_of_extended_structure_(Maxfield-Scheraga,_1976)",1.9730165
267,Average_membrane_preference:_AMP07,1.977457
268,"Normalized_relative_frequency_of_extended_structure_(Isogai_et_al.,_1980)",1.9930311
269,"Average_relative_fractional_occurrence_in_E0(i-1)_(Rackovsky-Scheraga,_1982)",1.9960393
270,To ¦µ,2.01256
271,"Signal_sequence_helical_potential_(Argos_et_al.,_1983)",2.027216
272,"Normalized_hydrophobicity_scales_for_alpha-proteins_(Cid_et_al.,_1992)",2.2139754
273,"Zimm-Bragg_parameter_s_at_20_C_(Sueki_et_al.,_1984)",2.4566598
274,"Normalized_frequency_of_N-terminal_beta-sheet_(Chou-Fasman,_1978b)",2.4640996
275,"Helix-coil_equilibrium_constant_(Ptitsyn-Finkelstein,_1983)",2.549773
276,"Normalized_frequency_of_extended_structure_(Burgess_et_al.,_1975)",2.570639
277,"Normalized_frequency_of_alpha-helix_(Maxfield-Scheraga,_1976)",2.5921898
278,"Normalized_frequency_of_alpha-helix_(Burgess_et_al.,_1975)",2.6103988
279,"alpha-NH_chemical_shifts_(Bundi-Wuthrich,_1980)",2.6504276
280,"Apparent_partial_specific_volume_(Bull-Breese,_1975)",2.6918535
281,"Polarizability_parameter_(Charton-Charton,_1983)",2.715706
282,"Helix-coil_equilibrium_constant_(Finkelstein-Ptitsyn,_1977)",2.9358628
283,"Average_relative_probability_of_inner_helix_(Kanehisa-Tsong,_1980)",2.9833612
284,"Normalized_frequency_of_alpha-helix_from_CF_(Palau_et_al.,_1981)",3.0069485
285,"Beta-strand_indices_for_beta-proteins_(Geisow-Roberts,_1980)",3.0286024
286,"The_number_of_atoms_in_the_side_chain_labelled_3+1_(Charton-Charton,_1983)",3.0469532
287,"Steric_parameter_(Charton,_1982)",3.0473485
288,"Relative_preference_value_at_C5_(Richardson-Richardson,_1988)",3.0552833
289,"Normalized_frequency_of_beta-sheet_in_alpha+beta_class_(Palau_et_al.,_1981)",3.058109
290,"Information_value_for_accessibility;_average_fraction_23%_(Biou_et_al.,_1988)",3.87375
291,"Normalized_frequency_of_the_2nd_and_3rd_residues_in_turn_(Chou-Fasman,_1979b)",3.9234436
292,"Frequency_of_the_4th_residue_in_turn_(Chou-Fasman,_1979b)",3.9459484
293,"Frequency_of_the_3rd_residue_in_turn_(Chou-Fasman,_1979b)",3.9479878
294,"Normalized_hydrophobicity_scales_for_beta-proteins_(Cid_et_al.,_1993)",3.9495802
295,"Normalized_hydrophobicity_scales_for_alpha-proteins_(Cid_et_al.,_1993)",3.9564342
296,"Normalized_hydrophobicity_scales_for_alpha/beta-proteins_(Cid_et_al.,_1993)",3.9629514
297,"Normalized_hydrophobicity_scales_for_alpha+beta-proteins_(Cid_et_al.,_1993)",3.9835794
298,"Information_value_for_accessibility;_average_fraction_35%_(Biou_et_al.,_1988)",3.9844754
299,"STERIMOL_maximum_width_of_the_side_chain_(Fauchere_et_al.,_1988)",4.939165
300,"Normalized_frequency_of_beta-sheet_(Chou-Fasman,_1979b)",4.943613
301,"alpha-CH_chemical_shifts_(Bundi-Wuthrich,_1979)",4.9493675
302,"pK-a(RCOOH)_(Fauchere_et_al.,_1988)",4.958778
303,"alpha-CH_chemical_shifts_(Andersen_et_al.,_1992)",4.963456
304,Invalids-Contacts per-Res.1,5.112336
305,"STERIMOL_length_of_the_side_chain_(Fauchere_et_al.,_1988)",5.1402826
306,"Size_(Dawson,_1972)",5.1839337
307,Invalids-Contacts per-Res,5.351847
308,"Conformational_parameter_of_beta-structure_(Beghin-Dirkx,_1976)",5.380951
309,pl (the pH at the isoelectric point),5.3830276
310,Isoelectric point,5.401521
311,"van_der_Waals_parameter_R0_(Levitt,_1976)",5.4615254
312,¦Â-pb,5.486537
313,"Average_number_of_surrounding_residues_(Ponnuswamy_et_al.,_1980)",5.495432
314,Contribute >= 2 kcal/mol (%),5.500198
315,Valids-Contacts per-Res.1,5.5200562
316,Valids-Contacts per-Res,5.600532
317,C190,5.6944213
318,"Average_interactions_per_side_chain_atom_(Warme-Morgan,_1978)",5.726412
319,"alpha-NH_chemical_shifts_(Bundi-Wuthrich,_1979)",5.7576365
320,"Unfolding_Gibbs_energy_in_water,_pH9.0_(Yutani_et_al.,_1987)",5.797239
321,"Average_gain_in_surrounding_hydrophobicity_(Ponnuswamy_et_al.,_1980)",5.821451
322,¦Á-pb,5.8847084
323,"Conformational_parameter_of_beta-turn_(Beghin-Dirkx,_1976)",5.9860115
324,"Frequency_of_the_1st_residue_in_turn_(Chou-Fasman,_1979b)",5.9937024
325,pKb (the negative of the logarithm of the dissociation constant for the -NH3 group),6.053799
326,"pK-N_(Fasman,_1976)",6.071704
327,"Unfolding_Gibbs_energy_in_water,_pH7.0_(Yutani_et_al.,_1987)",6.0924225
328,pK2 (NH ),6.109989
329,"Polar_requirement_(Woese,_1973)",6.2588086
330,"Polarity_(Grantham,_1974)",6.2864895
331,Ranking of amino acid polarities,6.415682
332,¦Á-ex,6.5230613
333,G.1,6.583243
334,"Conformational_parameter_of_inner_helix_(Beghin-Dirkx,_1976)",6.7883754
335,Polarity.1,6.8015385
336,"Hydrophobicity_(Prabhakaran,_1990)",6.834479
337,"Normalized_frequency_of_alpha-helix_in_alpha/beta_class_(Palau_et_al.,_1981)",7.125448
338,"Normalized_relative_frequency_of_double_bend_(Isogai_et_al.,_1980)",7.245058
339,"Relative_preference_value_at_N2_(Richardson-Richardson,_1988)",7.2530746
340,"Relative_preference_value_at_N3_(Richardson-Richardson,_1988)",7.3692374
341,"Normalized_frequency_of_middle_helix_(Crawford_et_al.,_1973)",7.4379554
342,"Transfer_free_energy_to_surface_(Bull-Breese,_1975)",7.45704
343,"Normalized_frequency_of_alpha-helix_from_LG_(Palau_et_al.,_1981)",7.5751767
344,"Normalized_frequency_of_alpha-helix_(Nagano,_1973)",7.5895925
345,"Spin-spin_coupling_constants_3JHalpha-NH_(Bundi-Wuthrich,_1980)",7.6651697
346,"Normalized_frequency_of_alpha-helix,_unweighted_(Levitt,_1978)",7.712688
347,"Average_relative_probability_of_helix_(Kanehisa-Tsong,_1980)",7.7583523
348,"Normalized_frequency_of_alpha-helix_(Chou-Fasman,_1978b)",7.8844604
349,"Alpha-helix_indices_(Geisow-Roberts,_1980)",7.939618
350,"Alpha-helix_indices_for_alpha/beta-proteins_(Geisow-Roberts,_1980)",7.965362
351,"The_number_of_atoms_in_the_side_chain_labelled_2+1_(Charton-Charton,_1983)",7.974149
352,"Normalized_frequency_of_alpha-helix_(Tanaka-Scheraga,_1977)",7.987173
353,"Average_relative_fractional_occurrence_in_AR(i-1)_(Rackovsky-Scheraga,_1982)",7.9966874
354,"Normalized_relative_frequency_of_alpha-helix_(Isogai_et_al.,_1980)",8.0498
355,"Relative_preference_value_at_Mid_(Richardson-Richardson,_1988)",8.09517
356,"A_parameter_defined_from_the_residuals_obtained_from_the_best_correlation_of_the_Chou-Fasman_parameter_of_beta-sheet_(Charton-Charton,_1984)",8.107964
357,ex Ar,8.152337
358,pb ¦µ,8.197209
359,"Normalized_frequency_of_zeta_R_(Tanaka-Scheraga,_1977)",8.50611
360,ex +,8.785002
361,"Relative_preference_value_at_N""_(Richardson-Richardson,_1988)",8.795295
362,ex -,8.820906
363,"Relative_preference_value_at_N'_(Richardson-Richardson,_1988)",8.823636
364,"Normalized_frequency_of_turn_in_alpha+beta_class_(Palau_et_al.,_1981)",8.831649
365,A,8.9727
366,"Hydration_number_(Hopfinger,_1971),_Cited_by_Charton-Charton_(1982)",9.18256
367,"Normalized_average_hydrophobicity_scales_(Cid_et_al.,_1993)",9.1834545
368,"Number_of_full_nonbonding_orbitals_(Fauchere_et_al.,_1988)",9.286086
369,"Relative_mutability_(Jones_et_al.,_1993)",9.403219
370,"Transfer_free_energy_to_lipophilic_phase_(von_Heijne-Blomberg,_1979)",9.453451
371,"Side_chain_hydropathy,_uncorrected_for_solvation_(Roseman,_1988)",9.51437
372,"HPLC_parameter_(Parker_et_al.,_1986)",9.547936
373,"Optimized_average_non-bonded_energy_per_atom_(Oobatake_et_al.,_1985)",9.610076
374,"Percentage_of_exposed_residues_(Janin_et_al.,_1979)",9.6193
375,"Principal_property_value_z1_(Wold_et_al.,_1987)",9.683843
376,"Side_chain_hydropathy,_corrected_for_solvation_(Roseman,_1988)",9.818895
377,"Hydrophobic_parameter_(Levitt,_1976)",9.834201
378,Ph,9.836242
379,"Amino_acid_distribution_(Jukes_et_al.,_1976)",9.874683
380,"Hydrophilicity_value_(Hopp-Woods,_1981)",9.934567
381,"Optimized_propensity_to_form_reverse_turn_(Oobatake_et_al.,_1985)",9.955747
382,"Transfer_free_energy_to_surface_(Bull-Breese,_1974)",9.98501
383,"Average_non-bonded_energy_per_atom_(Oobatake-Ooi,_1977)",10.117131
384,"Short_and_medium_range_non-bonded_energy_per_atom_(Oobatake-Ooi,_1977)",10.124534
385,"Ratio_of_buried_and_accessible_molar_fractions_(Janin,_1980)",10.126566
